[13:13:54.613 verbose] Detected PBES extension.
[13:13:54.613 verbose] pbes2bool parameters:
[13:13:54.613 verbose]   input file:         model/model.req1.pbes
[13:13:54.613 verbose]   data rewriter:      jittyc
[13:13:54.613 verbose]   pbes rewriter:      1
[13:13:54.641 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:13:54.663 verbose] compiling rewriter...
[13:14:01.276 verbose] loading rewriter...
[13:14:01.277 verbose] Retrieving pbes_equations from equation system...
[13:14:01.282 verbose] Computing a BES from the PBES....
[13:14:01.791 verbose] Processed 1000 and generated 2149 boolean variables
[13:14:02.256 verbose] Processed 2000 and generated 3640 boolean variables
[13:14:02.724 verbose] Processed 3000 and generated 4962 boolean variables
[13:14:03.193 verbose] Processed 4000 and generated 6271 boolean variables
[13:14:03.650 verbose] Processed 5000 and generated 7401 boolean variables
[13:14:04.111 verbose] Processed 6000 and generated 8656 boolean variables
[13:14:04.587 verbose] Processed 7000 and generated 9761 boolean variables
[13:14:05.080 verbose] Processed 8000 and generated 10875 boolean variables
[13:14:05.571 verbose] Processed 9000 and generated 12078 boolean variables
[13:14:06.043 verbose] Processed 10000 and generated 13108 boolean variables
[13:14:06.521 verbose] Processed 11000 and generated 14258 boolean variables
[13:14:07.032 verbose] Processed 12000 and generated 15425 boolean variables
[13:14:07.530 verbose] Processed 13000 and generated 16475 boolean variables
[13:14:07.001 verbose] Processed 14000 and generated 17523 boolean variables
[13:14:08.557 verbose] Processed 15000 and generated 18748 boolean variables
[13:14:09.162 verbose] Processed 16000 and generated 19833 boolean variables
[13:14:09.628 verbose] Processed 17000 and generated 20875 boolean variables
[13:14:10.120 verbose] Processed 18000 and generated 21942 boolean variables
[13:14:10.682 verbose] Processed 19000 and generated 23134 boolean variables
[13:14:11.216 verbose] Processed 20000 and generated 24216 boolean variables
[13:14:11.664 verbose] Processed 21000 and generated 25197 boolean variables
[13:14:12.184 verbose] Processed 22000 and generated 26350 boolean variables
[13:14:12.726 verbose] Processed 23000 and generated 27500 boolean variables
[13:14:13.240 verbose] Processed 24000 and generated 28506 boolean variables
[13:14:13.730 verbose] Processed 25000 and generated 29567 boolean variables
[13:14:14.238 verbose] Processed 26000 and generated 30654 boolean variables
[13:14:14.811 verbose] Processed 27000 and generated 31882 boolean variables
[13:14:15.335 verbose] Processed 28000 and generated 33016 boolean variables
[13:14:15.935 verbose] Processed 29000 and generated 34002 boolean variables
[13:14:16.381 verbose] Processed 30000 and generated 35092 boolean variables
[13:14:16.892 verbose] Processed 31000 and generated 36309 boolean variables
[13:14:17.467 verbose] Processed 32000 and generated 37545 boolean variables
[13:14:17.967 verbose] Processed 33000 and generated 38784 boolean variables
[13:14:18.490 verbose] Processed 34000 and generated 39817 boolean variables
[13:14:19.018 verbose] Processed 35000 and generated 40987 boolean variables
[13:14:19.520 verbose] Processed 36000 and generated 42273 boolean variables
[13:14:20.096 verbose] Processed 37000 and generated 43544 boolean variables
[13:14:20.614 verbose] Processed 38000 and generated 44802 boolean variables
[13:14:21.104 verbose] Processed 39000 and generated 46099 boolean variables
[13:14:21.634 verbose] Processed 40000 and generated 47206 boolean variables
[13:14:22.098 verbose] Processed 41000 and generated 48428 boolean variables
