[13:12:45.569 verbose] Detected PBES extension.
[13:12:45.569 verbose] pbes2bool parameters:
[13:12:45.569 verbose]   input file:         model/model.req2.pbes
[13:12:45.569 verbose]   data rewriter:      jittyc
[13:12:45.569 verbose]   pbes rewriter:      1
[13:12:45.615 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:12:45.637 verbose] compiling rewriter...
[13:12:52.164 verbose] loading rewriter...
[13:12:52.165 verbose] Retrieving pbes_equations from equation system...
[13:12:52.173 verbose] Computing a BES from the PBES....
[13:12:52.649 verbose] Processed 1000 and generated 2263 boolean variables
[13:12:53.135 verbose] Processed 2000 and generated 3909 boolean variables
[13:12:53.616 verbose] Processed 3000 and generated 5342 boolean variables
[13:12:54.125 verbose] Processed 4000 and generated 6893 boolean variables
[13:12:54.596 verbose] Processed 5000 and generated 8152 boolean variables
[13:12:55.116 verbose] Processed 6000 and generated 9591 boolean variables
[13:12:55.629 verbose] Processed 7000 and generated 10917 boolean variables
[13:12:56.143 verbose] Processed 8000 and generated 11998 boolean variables
[13:12:56.711 verbose] Processed 9000 and generated 13307 boolean variables
[13:12:57.215 verbose] Processed 10000 and generated 14558 boolean variables
[13:12:57.746 verbose] Processed 11000 and generated 15708 boolean variables
[13:12:58.243 verbose] Processed 12000 and generated 16704 boolean variables
[13:12:58.802 verbose] Processed 13000 and generated 17904 boolean variables
[13:12:59.378 verbose] Processed 14000 and generated 19177 boolean variables
[13:12:59.934 verbose] Processed 15000 and generated 20258 boolean variables
[13:13:00.610 verbose] Processed 16000 and generated 21348 boolean variables
[13:13:01.135 verbose] Processed 17000 and generated 22316 boolean variables
[13:13:01.690 verbose] Processed 18000 and generated 23638 boolean variables
[13:13:02.269 verbose] Processed 19000 and generated 24819 boolean variables
[13:13:02.826 verbose] Processed 20000 and generated 25908 boolean variables
[13:13:03.438 verbose] Processed 21000 and generated 27109 boolean variables
[13:13:03.965 verbose] Processed 22000 and generated 28004 boolean variables
[13:13:04.531 verbose] Processed 23000 and generated 29196 boolean variables
[13:13:05.169 verbose] Processed 24000 and generated 30441 boolean variables
[13:13:05.763 verbose] Processed 25000 and generated 31539 boolean variables
[13:13:06.372 verbose] Processed 26000 and generated 32642 boolean variables
[13:13:06.982 verbose] Processed 27000 and generated 33797 boolean variables
[13:13:07.571 verbose] Processed 28000 and generated 34784 boolean variables
[13:13:08.186 verbose] Processed 29000 and generated 35963 boolean variables
[13:13:08.843 verbose] Processed 30000 and generated 37010 boolean variables
[13:13:09.499 verbose] Processed 31000 and generated 38350 boolean variables
[13:13:10.218 verbose] Processed 32000 and generated 39376 boolean variables
[13:13:10.811 verbose] Processed 33000 and generated 40494 boolean variables
[13:13:11.458 verbose] Processed 34000 and generated 41556 boolean variables
[13:13:12.038 verbose] Processed 35000 and generated 42577 boolean variables
[13:13:12.662 verbose] Processed 36000 and generated 43603 boolean variables
[13:13:13.325 verbose] Processed 37000 and generated 44799 boolean variables
[13:13:14.009 verbose] Processed 38000 and generated 46256 boolean variables
[13:13:14.712 verbose] Processed 39000 and generated 47171 boolean variables
[13:13:15.328 verbose] Processed 40000 and generated 48321 boolean variables
[13:13:15.955 verbose] Processed 41000 and generated 49334 boolean variables
[13:13:16.606 verbose] Processed 42000 and generated 50460 boolean variables
[13:13:17.190 verbose] Processed 43000 and generated 51478 boolean variables
[13:13:17.826 verbose] Processed 44000 and generated 52685 boolean variables
[13:13:18.500 verbose] Processed 45000 and generated 53992 boolean variables
[13:13:19.219 verbose] Processed 46000 and generated 55246 boolean variables
[13:13:19.976 verbose] Processed 47000 and generated 56339 boolean variables
[13:13:20.634 verbose] Processed 48000 and generated 57468 boolean variables
[13:13:21.203 verbose] Processed 49000 and generated 58706 boolean variables
[13:13:21.871 verbose] Processed 50000 and generated 59885 boolean variables
[13:13:22.465 verbose] Processed 51000 and generated 60925 boolean variables
[13:13:23.071 verbose] Processed 52000 and generated 62154 boolean variables
[13:13:23.721 verbose] Processed 53000 and generated 63431 boolean variables
[13:13:24.410 verbose] Processed 54000 and generated 64536 boolean variables
[13:13:25.097 verbose] Processed 55000 and generated 65866 boolean variables
[13:13:25.773 verbose] Processed 56000 and generated 67007 boolean variables
[13:13:26.493 verbose] Processed 57000 and generated 68182 boolean variables
[13:13:27.077 verbose] Processed 58000 and generated 69597 boolean variables
[13:13:27.871 verbose] Processed 59000 and generated 70690 boolean variables
[13:13:28.535 verbose] Processed 60000 and generated 71897 boolean variables
[13:13:29.093 verbose] Processed 61000 and generated 73026 boolean variables
[13:13:29.696 verbose] Processed 62000 and generated 74286 boolean variables
[13:13:30.340 verbose] Processed 63000 and generated 75374 boolean variables
[13:13:30.972 verbose] Processed 64000 and generated 76519 boolean variables
[13:13:31.640 verbose] Processed 65000 and generated 77995 boolean variables
[13:13:32.299 verbose] Processed 66000 and generated 79339 boolean variables
[13:13:32.935 verbose] Processed 67000 and generated 80617 boolean variables
[13:13:33.577 verbose] Processed 68000 and generated 81883 boolean variables
[13:13:34.183 verbose] Processed 69000 and generated 83230 boolean variables
