[00:25:10.950 verbose] Detected PBES extension.
[00:25:10.950 verbose] pbes2bool parameters:
[00:25:10.950 verbose]   input file:         model/model.req9.pbes
[00:25:10.950 verbose]   data rewriter:      jittyc
[00:25:10.951 verbose]   pbes rewriter:      1
[00:25:10.984 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[00:25:11.007 verbose] compiling rewriter...
[00:25:17.558 verbose] loading rewriter...
[00:25:17.558 verbose] Retrieving pbes_equations from equation system...
[00:25:17.564 verbose] Computing a BES from the PBES....
[00:25:18.299 verbose] Processed 1000 and generated 2222 boolean variables
[00:25:19.019 verbose] Processed 2000 and generated 3789 boolean variables
[00:25:19.797 verbose] Processed 3000 and generated 5266 boolean variables
[00:25:20.637 verbose] Processed 4000 and generated 6572 boolean variables
[00:25:21.412 verbose] Processed 5000 and generated 7826 boolean variables
[00:25:22.110 verbose] Processed 6000 and generated 9019 boolean variables
[00:25:23.178 verbose] Processed 7000 and generated 10154 boolean variables
[00:25:23.881 verbose] Processed 8000 and generated 11509 boolean variables
[00:25:24.635 verbose] Processed 9000 and generated 12613 boolean variables
[00:25:25.728 verbose] Processed 10000 and generated 13708 boolean variables
[00:25:26.475 verbose] Processed 11000 and generated 15034 boolean variables
[00:25:27.174 verbose] Processed 12000 and generated 16165 boolean variables
[00:25:28.197 verbose] Processed 13000 and generated 17365 boolean variables
[00:25:29.272 verbose] Processed 14000 and generated 18445 boolean variables
[00:25:30.121 verbose] Processed 15000 and generated 19827 boolean variables
[00:25:30.916 verbose] Processed 16000 and generated 20957 boolean variables
[00:25:31.863 verbose] Processed 17000 and generated 22151 boolean variables
[00:25:33.016 verbose] Processed 18000 and generated 23210 boolean variables
[00:25:33.944 verbose] Processed 19000 and generated 24522 boolean variables
[00:25:34.695 verbose] Processed 20000 and generated 25745 boolean variables
[00:25:35.519 verbose] Processed 21000 and generated 26875 boolean variables
[00:25:36.490 verbose] Processed 22000 and generated 28032 boolean variables
[00:25:37.690 verbose] Processed 23000 and generated 29151 boolean variables
[00:25:38.657 verbose] Processed 24000 and generated 30283 boolean variables
[00:25:39.540 verbose] Processed 25000 and generated 31579 boolean variables
[00:25:40.404 verbose] Processed 26000 and generated 32685 boolean variables
[00:25:41.267 verbose] Processed 27000 and generated 33860 boolean variables
[00:25:42.395 verbose] Processed 28000 and generated 34913 boolean variables
[00:25:43.596 verbose] Processed 29000 and generated 36012 boolean variables
[00:25:44.657 verbose] Processed 30000 and generated 37102 boolean variables
[00:25:45.586 verbose] Processed 31000 and generated 38327 boolean variables
[00:25:46.406 verbose] Processed 32000 and generated 39470 boolean variables
[00:25:47.277 verbose] Processed 33000 and generated 40569 boolean variables
[00:25:48.174 verbose] Processed 34000 and generated 41640 boolean variables
[00:25:49.349 verbose] Processed 35000 and generated 42730 boolean variables
[00:25:50.566 verbose] Processed 36000 and generated 43765 boolean variables
[00:25:51.622 verbose] Processed 37000 and generated 44800 boolean variables
[00:25:52.573 verbose] Processed 38000 and generated 46013 boolean variables
[00:25:53.474 verbose] Processed 39000 and generated 47236 boolean variables
[00:25:54.376 verbose] Processed 40000 and generated 48309 boolean variables
[00:25:55.482 verbose] Processed 41000 and generated 49337 boolean variables
[00:25:56.332 verbose] Processed 42000 and generated 50407 boolean variables
[00:25:57.567 verbose] Processed 43000 and generated 51557 boolean variables
[00:25:58.785 verbose] Processed 44000 and generated 52602 boolean variables
[00:25:59.837 verbose] Processed 45000 and generated 53675 boolean variables
[00:26:00.754 verbose] Processed 46000 and generated 54989 boolean variables
[00:26:01.641 verbose] Processed 47000 and generated 56313 boolean variables
[00:26:02.599 verbose] Processed 48000 and generated 57325 boolean variables
[00:26:03.489 verbose] Processed 49000 and generated 58470 boolean variables
[00:26:04.406 verbose] Processed 50000 and generated 59496 boolean variables
[00:26:05.642 verbose] Processed 51000 and generated 60750 boolean variables
[00:26:06.876 verbose] Processed 52000 and generated 61936 boolean variables
[00:26:08.033 verbose] Processed 53000 and generated 63138 boolean variables
[00:26:08.952 verbose] Processed 54000 and generated 64355 boolean variables
[00:26:09.917 verbose] Processed 55000 and generated 65651 boolean variables
[00:26:10.866 verbose] Processed 56000 and generated 67020 boolean variables
[00:26:11.759 verbose] Processed 57000 and generated 68140 boolean variables
[00:26:12.567 verbose] Processed 58000 and generated 69549 boolean variables
[00:26:13.541 verbose] Processed 59000 and generated 70684 boolean variables
[00:26:14.355 verbose] Processed 60000 and generated 71870 boolean variables
[00:26:15.611 verbose] Processed 61000 and generated 73099 boolean variables
[00:26:17.004 verbose] Processed 62000 and generated 74411 boolean variables
