[14:08:50.024 verbose] Detected PBES extension.
[14:08:50.024 verbose] pbes2bool parameters:
[14:08:50.024 verbose]   input file:         model/model.req8.pbes
[14:08:50.024 verbose]   data rewriter:      jittyc
[14:08:50.024 verbose]   pbes rewriter:      1
[14:08:50.058 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[14:08:50.082 verbose] compiling rewriter...
[14:08:57.018 verbose] loading rewriter...
[14:08:57.019 verbose] Retrieving pbes_equations from equation system...
[14:08:57.024 verbose] Computing a BES from the PBES....
[14:08:57.798 verbose] Processed 1000 and generated 2222 boolean variables
[14:08:58.535 verbose] Processed 2000 and generated 3789 boolean variables
[14:08:59.336 verbose] Processed 3000 and generated 5266 boolean variables
[14:09:00.204 verbose] Processed 4000 and generated 6572 boolean variables
[14:09:00.004 verbose] Processed 5000 and generated 7826 boolean variables
[14:09:01.727 verbose] Processed 6000 and generated 9019 boolean variables
[14:09:02.832 verbose] Processed 7000 and generated 10154 boolean variables
[14:09:03.561 verbose] Processed 8000 and generated 11509 boolean variables
[14:09:04.338 verbose] Processed 9000 and generated 12613 boolean variables
[14:09:05.497 verbose] Processed 10000 and generated 13708 boolean variables
[14:09:06.247 verbose] Processed 11000 and generated 15034 boolean variables
[14:09:06.965 verbose] Processed 12000 and generated 16165 boolean variables
[14:09:08.013 verbose] Processed 13000 and generated 17365 boolean variables
[14:09:09.112 verbose] Processed 14000 and generated 18445 boolean variables
[14:09:09.985 verbose] Processed 15000 and generated 19827 boolean variables
[14:09:10.802 verbose] Processed 16000 and generated 20957 boolean variables
[14:09:11.768 verbose] Processed 17000 and generated 22151 boolean variables
[14:09:12.951 verbose] Processed 18000 and generated 23210 boolean variables
[14:09:13.896 verbose] Processed 19000 and generated 24522 boolean variables
[14:09:14.660 verbose] Processed 20000 and generated 25745 boolean variables
[14:09:15.503 verbose] Processed 21000 and generated 26875 boolean variables
[14:09:16.498 verbose] Processed 22000 and generated 28032 boolean variables
[14:09:17.725 verbose] Processed 23000 and generated 29151 boolean variables
[14:09:18.730 verbose] Processed 24000 and generated 30283 boolean variables
[14:09:19.640 verbose] Processed 25000 and generated 31579 boolean variables
[14:09:20.533 verbose] Processed 26000 and generated 32685 boolean variables
[14:09:21.425 verbose] Processed 27000 and generated 33860 boolean variables
[14:09:22.584 verbose] Processed 28000 and generated 34913 boolean variables
