[13:14:26.227 verbose] Detected PBES extension.
[13:14:26.244 verbose] pbes2bool parameters:
[13:14:26.244 verbose]   input file:         model/model.req5.pbes
[13:14:26.244 verbose]   data rewriter:      jittyc
[13:14:26.244 verbose]   pbes rewriter:      1
[13:14:26.272 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:14:26.306 verbose] compiling rewriter...
[13:14:32.855 verbose] loading rewriter...
[13:14:32.856 verbose] Retrieving pbes_equations from equation system...
[13:14:32.860 verbose] Computing a BES from the PBES....
[13:15:15.372 verbose] Processed 90000 and generated 102727 boolean variables
[13:15:15.835 verbose] Processed 91000 and generated 103904 boolean variables
[13:15:16.296 verbose] Processed 92000 and generated 104881 boolean variables
[13:15:16.795 verbose] Processed 93000 and generated 106039 boolean variables
[13:15:17.244 verbose] Processed 94000 and generated 106998 boolean variables
[13:15:17.684 verbose] Processed 95000 and generated 107996 boolean variables
[13:15:18.128 verbose] Processed 96000 and generated 108970 boolean variables
[13:15:18.579 verbose] Processed 97000 and generated 109948 boolean variables
[13:15:19.018 verbose] Processed 98000 and generated 110994 boolean variables
[13:15:19.476 verbose] Processed 99000 and generated 112105 boolean variables
[13:15:19.984 verbose] Processed 100000 and generated 113328 boolean variables
[13:15:20.532 verbose] Processed 101000 and generated 114329 boolean variables
[13:15:21.027 verbose] Processed 102000 and generated 115336 boolean variables
[13:15:21.505 verbose] Processed 103000 and generated 116319 boolean variables
[13:15:22.006 verbose] Processed 104000 and generated 117351 boolean variables
[13:15:22.771 verbose] Processed 105000 and generated 118219 boolean variables
[13:15:23.259 verbose] Processed 106000 and generated 119284 boolean variables
[13:15:23.693 verbose] Processed 107000 and generated 120116 boolean variables
[13:15:24.122 verbose] Processed 108000 and generated 121024 boolean variables
[13:15:24.563 verbose] Processed 109000 and generated 121949 boolean variables
[13:15:25.014 verbose] Processed 110000 and generated 122853 boolean variables
[13:15:25.439 verbose] Processed 111000 and generated 123854 boolean variables
[13:15:25.883 verbose] Processed 112000 and generated 124866 boolean variables
[13:15:26.390 verbose] Processed 113000 and generated 126068 boolean variables
[13:15:26.896 verbose] Processed 114000 and generated 127084 boolean variables
[13:15:27.422 verbose] Processed 115000 and generated 128046 boolean variables
[13:15:27.909 verbose] Processed 116000 and generated 128896 boolean variables
[13:15:28.393 verbose] Processed 117000 and generated 129835 boolean variables
[13:15:28.856 verbose] Processed 118000 and generated 130718 boolean variables
[13:15:29.368 verbose] Processed 119000 and generated 131649 boolean variables
[13:15:29.821 verbose] Processed 120000 and generated 132427 boolean variables
[13:15:30.264 verbose] Processed 121000 and generated 133339 boolean variables
[13:15:30.719 verbose] Processed 122000 and generated 134235 boolean variables
[13:15:31.180 verbose] Processed 123000 and generated 135172 boolean variables
[13:15:31.612 verbose] Processed 124000 and generated 136179 boolean variables
[13:15:32.075 verbose] Processed 125000 and generated 137116 boolean variables
[13:15:32.608 verbose] Processed 126000 and generated 138274 boolean variables
[13:15:33.115 verbose] Processed 127000 and generated 139344 boolean variables
[13:15:33.657 verbose] Processed 128000 and generated 140326 boolean variables
[13:15:34.142 verbose] Processed 129000 and generated 141175 boolean variables
[13:15:34.635 verbose] Processed 130000 and generated 142038 boolean variables
[13:15:35.108 verbose] Processed 131000 and generated 142910 boolean variables
[13:15:35.630 verbose] Processed 132000 and generated 143790 boolean variables
[13:15:36.062 verbose] Processed 133000 and generated 144791 boolean variables
[13:15:36.528 verbose] Processed 134000 and generated 145768 boolean variables
[13:15:36.000 verbose] Processed 135000 and generated 146740 boolean variables
[13:15:37.444 verbose] Processed 136000 and generated 147789 boolean variables
[13:15:37.922 verbose] Processed 137000 and generated 148741 boolean variables
[13:15:38.453 verbose] Processed 138000 and generated 149875 boolean variables
[13:15:38.945 verbose] Processed 139000 and generated 151048 boolean variables
[13:15:39.502 verbose] Processed 140000 and generated 152140 boolean variables
[13:15:40.035 verbose] Processed 141000 and generated 153020 boolean variables
[13:15:40.539 verbose] Processed 142000 and generated 153909 boolean variables
[13:15:41.019 verbose] Processed 143000 and generated 154939 boolean variables
[13:15:41.517 verbose] Processed 144000 and generated 155919 boolean variables
[13:15:41.985 verbose] Processed 145000 and generated 157050 boolean variables
[13:15:42.466 verbose] Processed 146000 and generated 158097 boolean variables
[13:15:42.953 verbose] Processed 147000 and generated 159211 boolean variables
[13:15:43.400 verbose] Processed 148000 and generated 160289 boolean variables
[13:15:43.882 verbose] Processed 149000 and generated 161341 boolean variables
[13:15:44.435 verbose] Processed 150000 and generated 162507 boolean variables
[13:15:44.928 verbose] Processed 151000 and generated 163665 boolean variables
[13:15:45.511 verbose] Processed 152000 and generated 164781 boolean variables
[13:15:46.050 verbose] Processed 153000 and generated 165792 boolean variables
[13:15:46.562 verbose] Processed 154000 and generated 166806 boolean variables
[13:15:47.054 verbose] Processed 155000 and generated 167948 boolean variables
[13:15:47.559 verbose] Processed 156000 and generated 169006 boolean variables
[13:15:48.038 verbose] Processed 157000 and generated 170139 boolean variables
[13:15:48.532 verbose] Processed 158000 and generated 171214 boolean variables
[13:15:49.606 verbose] Processed 159000 and generated 172312 boolean variables
[13:15:50.035 verbose] Processed 160000 and generated 173375 boolean variables
[13:15:50.494 verbose] Processed 161000 and generated 174461 boolean variables
[13:15:51.009 verbose] Processed 162000 and generated 175693 boolean variables
[13:15:51.524 verbose] Processed 163000 and generated 176987 boolean variables
[13:15:52.050 verbose] Processed 164000 and generated 177944 boolean variables
[13:15:52.589 verbose] Processed 165000 and generated 178997 boolean variables
[13:15:53.106 verbose] Processed 166000 and generated 180099 boolean variables
