[13:55:49.630 verbose] Detected PBES extension.
[13:55:49.630 verbose] pbes2bool parameters:
[13:55:49.630 verbose]   input file:         model/model.req4.pbes
[13:55:49.630 verbose]   data rewriter:      jittyc
[13:55:49.630 verbose]   pbes rewriter:      1
[13:55:49.661 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:55:49.685 verbose] compiling rewriter...
[13:55:56.523 verbose] loading rewriter...
[13:55:56.524 verbose] Retrieving pbes_equations from equation system...
[13:55:56.529 verbose] Computing a BES from the PBES....
[13:55:57.286 verbose] Processed 1000 and generated 2222 boolean variables
[13:55:58.027 verbose] Processed 2000 and generated 3789 boolean variables
[13:55:58.852 verbose] Processed 3000 and generated 5266 boolean variables
[13:55:59.736 verbose] Processed 4000 and generated 6572 boolean variables
[13:56:00.530 verbose] Processed 5000 and generated 7826 boolean variables
[13:56:01.261 verbose] Processed 6000 and generated 9019 boolean variables
[13:56:02.368 verbose] Processed 7000 and generated 10154 boolean variables
[13:56:03.105 verbose] Processed 8000 and generated 11509 boolean variables
[13:56:03.878 verbose] Processed 9000 and generated 12613 boolean variables
[13:56:04.995 verbose] Processed 10000 and generated 13708 boolean variables
[13:56:05.757 verbose] Processed 11000 and generated 15034 boolean variables
[13:56:06.467 verbose] Processed 12000 and generated 16165 boolean variables
[13:56:07.513 verbose] Processed 13000 and generated 17365 boolean variables
[13:56:08.629 verbose] Processed 14000 and generated 18445 boolean variables
[13:56:09.444 verbose] Processed 15000 and generated 19827 boolean variables
[13:56:10.322 verbose] Processed 16000 and generated 20957 boolean variables
[13:56:11.280 verbose] Processed 17000 and generated 22151 boolean variables
[13:56:12.448 verbose] Processed 18000 and generated 23210 boolean variables
[13:56:13.396 verbose] Processed 19000 and generated 24522 boolean variables
[13:56:14.185 verbose] Processed 20000 and generated 25745 boolean variables
[13:56:15.020 verbose] Processed 21000 and generated 26875 boolean variables
[13:56:15.004 verbose] Processed 22000 and generated 28032 boolean variables
[13:56:17.228 verbose] Processed 23000 and generated 29151 boolean variables
[13:56:18.206 verbose] Processed 24000 and generated 30283 boolean variables
[13:56:19.102 verbose] Processed 25000 and generated 31579 boolean variables
[13:56:19.986 verbose] Processed 26000 and generated 32685 boolean variables
[13:56:20.869 verbose] Processed 27000 and generated 33860 boolean variables
[13:56:21.949 verbose] Processed 28000 and generated 34913 boolean variables
[13:56:23.272 verbose] Processed 29000 and generated 36012 boolean variables
[13:56:24.356 verbose] Processed 30000 and generated 37102 boolean variables
[13:56:25.308 verbose] Processed 31000 and generated 38327 boolean variables
[13:56:26.152 verbose] Processed 32000 and generated 39470 boolean variables
[13:56:27.047 verbose] Processed 33000 and generated 40569 boolean variables
[13:56:27.968 verbose] Processed 34000 and generated 41640 boolean variables
[13:56:29.208 verbose] Processed 35000 and generated 42730 boolean variables
[13:56:30.463 verbose] Processed 36000 and generated 43765 boolean variables
[13:56:31.552 verbose] Processed 37000 and generated 44800 boolean variables
[13:56:32.533 verbose] Processed 38000 and generated 46013 boolean variables
[13:56:33.460 verbose] Processed 39000 and generated 47236 boolean variables
[13:56:34.389 verbose] Processed 40000 and generated 48309 boolean variables
[13:56:35.411 verbose] Processed 41000 and generated 49337 boolean variables
[13:56:36.434 verbose] Processed 42000 and generated 50407 boolean variables
[13:56:37.705 verbose] Processed 43000 and generated 51557 boolean variables
[13:56:38.964 verbose] Processed 44000 and generated 52602 boolean variables
[13:56:40.050 verbose] Processed 45000 and generated 53675 boolean variables
[13:56:40.996 verbose] Processed 46000 and generated 54989 boolean variables
[13:56:41.911 verbose] Processed 47000 and generated 56313 boolean variables
[13:56:42.904 verbose] Processed 48000 and generated 57326 boolean variables
[13:56:43.830 verbose] Processed 49000 and generated 58469 boolean variables
[13:56:44.788 verbose] Processed 50000 and generated 59495 boolean variables
[13:56:46.104 verbose] Processed 51000 and generated 60748 boolean variables
[13:56:47.365 verbose] Processed 52000 and generated 61934 boolean variables
[13:56:48.546 verbose] Processed 53000 and generated 63136 boolean variables
[13:56:49.472 verbose] Processed 54000 and generated 64354 boolean variables
[13:56:50.433 verbose] Processed 55000 and generated 65649 boolean variables
[13:56:51.382 verbose] Processed 56000 and generated 67023 boolean variables
[13:56:52.273 verbose] Processed 57000 and generated 68136 boolean variables
[13:56:53.077 verbose] Processed 58000 and generated 69537 boolean variables
[13:56:54.052 verbose] Processed 59000 and generated 70677 boolean variables
[13:56:54.859 verbose] Processed 60000 and generated 71853 boolean variables
