[23:14:08.363 verbose] Detected PBES extension.
[23:14:08.364 verbose] pbes2bool parameters:
[23:14:08.364 verbose]   input file:         model/model.req6.pbes
[23:14:08.364 verbose]   data rewriter:      jittyc
[23:14:08.364 verbose]   pbes rewriter:      1
[23:14:08.634 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[23:14:08.658 verbose] compiling rewriter...
[23:14:18.814 verbose] loading rewriter...
[23:14:18.815 verbose] Retrieving pbes_equations from equation system...
[23:14:18.821 verbose] Computing a BES from the PBES....
[23:14:19.367 verbose] Processed 1000 and generated 2365 boolean variables
[23:14:19.842 verbose] Processed 2000 and generated 4033 boolean variables
[23:14:20.376 verbose] Processed 3000 and generated 5603 boolean variables
[23:14:20.828 verbose] Processed 4000 and generated 6948 boolean variables
[23:14:21.379 verbose] Processed 5000 and generated 8394 boolean variables
[23:14:21.826 verbose] Processed 6000 and generated 9567 boolean variables
[23:14:22.250 verbose] Processed 7000 and generated 10728 boolean variables
[23:14:22.785 verbose] Processed 8000 and generated 12054 boolean variables
[23:14:23.289 verbose] Processed 9000 and generated 13226 boolean variables
[23:14:23.721 verbose] Processed 10000 and generated 14219 boolean variables
[23:14:24.171 verbose] Processed 11000 and generated 15301 boolean variables
[23:14:24.818 verbose] Processed 12000 and generated 16682 boolean variables
[23:14:25.302 verbose] Processed 13000 and generated 17801 boolean variables
[23:14:25.718 verbose] Processed 14000 and generated 18756 boolean variables
[23:14:26.149 verbose] Processed 15000 and generated 19902 boolean variables
[23:14:26.697 verbose] Processed 16000 and generated 21168 boolean variables
[23:14:27.218 verbose] Processed 17000 and generated 22358 boolean variables
[23:14:27.687 verbose] Processed 18000 and generated 23382 boolean variables
[23:14:28.127 verbose] Processed 19000 and generated 24403 boolean variables
[23:14:28.578 verbose] Processed 20000 and generated 25529 boolean variables
[23:14:29.112 verbose] Processed 21000 and generated 26815 boolean variables
[23:14:29.653 verbose] Processed 22000 and generated 27954 boolean variables
[23:14:30.170 verbose] Processed 23000 and generated 28975 boolean variables
[23:14:30.636 verbose] Processed 24000 and generated 29968 boolean variables
[23:14:31.112 verbose] Processed 25000 and generated 31113 boolean variables
[23:14:31.624 verbose] Processed 26000 and generated 32257 boolean variables
[23:14:32.271 verbose] Processed 27000 and generated 33514 boolean variables
[23:14:32.799 verbose] Processed 28000 and generated 34649 boolean variables
[23:14:33.302 verbose] Processed 29000 and generated 35695 boolean variables
[23:14:33.767 verbose] Processed 30000 and generated 36698 boolean variables
[23:14:34.232 verbose] Processed 31000 and generated 37774 boolean variables
[23:14:34.716 verbose] Processed 32000 and generated 38839 boolean variables
[23:14:35.282 verbose] Processed 33000 and generated 40140 boolean variables
[23:14:35.847 verbose] Processed 34000 and generated 41240 boolean variables
[23:14:36.409 verbose] Processed 35000 and generated 42355 boolean variables
[23:14:36.906 verbose] Processed 36000 and generated 43373 boolean variables
[23:14:37.495 verbose] Processed 37000 and generated 44413 boolean variables
[23:14:37.962 verbose] Processed 38000 and generated 45416 boolean variables
[23:14:38.454 verbose] Processed 39000 and generated 46452 boolean variables
[23:14:39.023 verbose] Processed 40000 and generated 47659 boolean variables
[23:14:39.585 verbose] Processed 41000 and generated 48781 boolean variables
[23:14:40.140 verbose] Processed 42000 and generated 49870 boolean variables
[23:14:40.656 verbose] Processed 43000 and generated 50938 boolean variables
[23:14:41.132 verbose] Processed 44000 and generated 51902 boolean variables
[23:14:41.611 verbose] Processed 45000 and generated 52884 boolean variables
[23:14:42.086 verbose] Processed 46000 and generated 53805 boolean variables
[23:14:42.648 verbose] Processed 47000 and generated 54958 boolean variables
[23:14:43.433 verbose] Processed 48000 and generated 56260 boolean variables
[23:14:43.969 verbose] Processed 49000 and generated 57316 boolean variables
[23:14:44.493 verbose] Processed 50000 and generated 58388 boolean variables
[23:14:44.976 verbose] Processed 51000 and generated 59449 boolean variables
[23:14:45.434 verbose] Processed 52000 and generated 60501 boolean variables
[23:14:45.897 verbose] Processed 53000 and generated 61493 boolean variables
[23:14:46.377 verbose] Processed 54000 and generated 62505 boolean variables
[23:14:46.906 verbose] Processed 55000 and generated 63723 boolean variables
[23:14:47.488 verbose] Processed 56000 and generated 65003 boolean variables
[23:14:48.031 verbose] Processed 57000 and generated 66059 boolean variables
[23:14:48.568 verbose] Processed 58000 and generated 67324 boolean variables
[23:14:49.103 verbose] Processed 59000 and generated 68373 boolean variables
[23:14:49.577 verbose] Processed 60000 and generated 69590 boolean variables
[23:14:50.056 verbose] Processed 61000 and generated 70777 boolean variables
[23:14:50.534 verbose] Processed 62000 and generated 71958 boolean variables
[23:14:51.177 verbose] Processed 63000 and generated 73074 boolean variables
[23:14:51.704 verbose] Processed 64000 and generated 74344 boolean variables
[23:14:52.300 verbose] Processed 65000 and generated 75615 boolean variables
[23:14:52.836 verbose] Processed 66000 and generated 76790 boolean variables
[23:14:53.370 verbose] Processed 67000 and generated 78167 boolean variables
[23:14:53.915 verbose] Processed 68000 and generated 79410 boolean variables
[23:14:54.405 verbose] Processed 69000 and generated 80539 boolean variables
[23:14:54.868 verbose] Processed 70000 and generated 81891 boolean variables
[23:14:55.347 verbose] Processed 71000 and generated 83130 boolean variables
[23:14:55.836 verbose] Processed 72000 and generated 84297 boolean variables
[23:14:56.346 verbose] Processed 73000 and generated 85601 boolean variables
[23:14:56.903 verbose] Processed 74000 and generated 86884 boolean variables
[23:14:57.486 verbose] Processed 75000 and generated 88120 boolean variables
[23:14:58.072 verbose] Processed 76000 and generated 89483 boolean variables
[23:14:58.618 verbose] Processed 77000 and generated 90705 boolean variables
[23:14:59.163 verbose] Processed 78000 and generated 92065 boolean variables
[23:14:59.736 verbose] Processed 79000 and generated 93285 boolean variables
[23:15:00.240 verbose] Processed 80000 and generated 94468 boolean variables
[23:15:01.024 verbose] Processed 81000 and generated 95763 boolean variables
[23:15:01.474 verbose] Processed 82000 and generated 97026 boolean variables
[23:15:01.952 verbose] Processed 83000 and generated 98244 boolean variables
[23:15:02.413 verbose] Processed 84000 and generated 99396 boolean variables
[23:15:02.901 verbose] Processed 85000 and generated 100653 boolean variables
[23:15:03.429 verbose] Processed 86000 and generated 101848 boolean variables
[23:15:03.968 verbose] Processed 87000 and generated 103063 boolean variables
