[13:26:34.069 verbose] Detected PBES extension.
[13:26:34.069 verbose] pbes2bool parameters:
[13:26:34.069 verbose]   input file:         model/model.req7.pbes
[13:26:34.069 verbose]   data rewriter:      jittyc
[13:26:34.069 verbose]   pbes rewriter:      1
[13:26:34.105 verbose] using 'mcrl2compilerewriter' to compile rewriter.
[13:26:34.127 verbose] compiling rewriter...
[13:26:40.920 verbose] loading rewriter...
[13:26:40.921 verbose] Retrieving pbes_equations from equation system...
[13:26:40.927 verbose] Computing a BES from the PBES....
[13:26:41.486 verbose] Processed 1000 and generated 2306 boolean variables
[13:26:42.038 verbose] Processed 2000 and generated 4009 boolean variables
[13:26:42.555 verbose] Processed 3000 and generated 5462 boolean variables
[13:26:43.058 verbose] Processed 4000 and generated 6818 boolean variables
[13:26:43.526 verbose] Processed 5000 and generated 8126 boolean variables
[13:26:44.007 verbose] Processed 6000 and generated 9361 boolean variables
[13:26:44.528 verbose] Processed 7000 and generated 10516 boolean variables
[13:26:45.058 verbose] Processed 8000 and generated 11807 boolean variables
[13:26:45.577 verbose] Processed 9000 and generated 12943 boolean variables
[13:26:46.087 verbose] Processed 10000 and generated 14073 boolean variables
[13:26:46.518 verbose] Processed 11000 and generated 15155 boolean variables
[13:26:47.063 verbose] Processed 12000 and generated 16427 boolean variables
[13:26:47.564 verbose] Processed 13000 and generated 17493 boolean variables
[13:26:48.104 verbose] Processed 14000 and generated 18543 boolean variables
[13:26:48.568 verbose] Processed 15000 and generated 19643 boolean variables
[13:26:49.106 verbose] Processed 16000 and generated 20847 boolean variables
[13:26:49.760 verbose] Processed 17000 and generated 22043 boolean variables
[13:26:50.307 verbose] Processed 18000 and generated 23115 boolean variables
[13:26:50.797 verbose] Processed 19000 and generated 24124 boolean variables
[13:26:51.246 verbose] Processed 20000 and generated 25180 boolean variables
[13:26:51.805 verbose] Processed 21000 and generated 26384 boolean variables
[13:26:52.431 verbose] Processed 22000 and generated 27549 boolean variables
[13:26:52.914 verbose] Processed 23000 and generated 28633 boolean variables
[13:26:53.445 verbose] Processed 24000 and generated 29684 boolean variables
[13:26:53.904 verbose] Processed 25000 and generated 30676 boolean variables
[13:26:54.429 verbose] Processed 26000 and generated 31757 boolean variables
[13:26:55.041 verbose] Processed 27000 and generated 32976 boolean variables
[13:26:55.619 verbose] Processed 28000 and generated 34141 boolean variables
[13:26:56.198 verbose] Processed 29000 and generated 35212 boolean variables
[13:26:56.692 verbose] Processed 30000 and generated 36236 boolean variables
[13:26:57.170 verbose] Processed 31000 and generated 37188 boolean variables
[13:26:57.781 verbose] Processed 32000 and generated 38365 boolean variables
[13:26:58.460 verbose] Processed 33000 and generated 39573 boolean variables
[13:26:59.023 verbose] Processed 34000 and generated 40745 boolean variables
[13:26:59.550 verbose] Processed 35000 and generated 41699 boolean variables
[13:27:00.069 verbose] Processed 36000 and generated 42778 boolean variables
[13:27:00.538 verbose] Processed 37000 and generated 43763 boolean variables
[13:27:01.083 verbose] Processed 38000 and generated 44917 boolean variables
[13:27:01.731 verbose] Processed 39000 and generated 46259 boolean variables
[13:27:02.384 verbose] Processed 40000 and generated 47305 boolean variables
[13:27:02.890 verbose] Processed 41000 and generated 48472 boolean variables
[13:27:03.462 verbose] Processed 42000 and generated 49540 boolean variables
[13:27:03.945 verbose] Processed 43000 and generated 50531 boolean variables
[13:27:04.419 verbose] Processed 44000 and generated 51604 boolean variables
[13:27:04.965 verbose] Processed 45000 and generated 52800 boolean variables
[13:27:05.587 verbose] Processed 46000 and generated 54187 boolean variables
[13:27:06.203 verbose] Processed 47000 and generated 55329 boolean variables
[13:27:06.876 verbose] Processed 48000 and generated 56575 boolean variables
[13:27:07.365 verbose] Processed 49000 and generated 57615 boolean variables
[13:27:07.920 verbose] Processed 50000 and generated 58659 boolean variables
[13:27:08.378 verbose] Processed 51000 and generated 59865 boolean variables
[13:27:08.845 verbose] Processed 52000 and generated 61038 boolean variables
[13:27:09.418 verbose] Processed 53000 and generated 62339 boolean variables
[13:27:10.023 verbose] Processed 54000 and generated 63648 boolean variables
[13:27:10.637 verbose] Processed 55000 and generated 64976 boolean variables
[13:27:11.204 verbose] Processed 56000 and generated 66188 boolean variables
[13:27:11.696 verbose] Processed 57000 and generated 67477 boolean variables
[13:27:12.250 verbose] Processed 58000 and generated 68717 boolean variables
[13:27:12.932 verbose] Processed 59000 and generated 69752 boolean variables
[13:27:13.393 verbose] Processed 60000 and generated 70953 boolean variables
[13:27:13.834 verbose] Processed 61000 and generated 72213 boolean variables
[13:27:14.395 verbose] Processed 62000 and generated 73477 boolean variables
[13:27:14.928 verbose] Processed 63000 and generated 74829 boolean variables
[13:27:15.559 verbose] Processed 64000 and generated 76191 boolean variables
[13:27:16.095 verbose] Processed 65000 and generated 77529 boolean variables
[13:27:16.622 verbose] Processed 66000 and generated 78778 boolean variables
[13:27:17.154 verbose] Processed 67000 and generated 80035 boolean variables
[13:27:17.648 verbose] Processed 68000 and generated 81230 boolean variables
[13:27:18.231 verbose] Processed 69000 and generated 82550 boolean variables
[13:27:18.708 verbose] Processed 70000 and generated 83547 boolean variables
[13:27:19.173 verbose] Processed 71000 and generated 84744 boolean variables
[13:27:19.630 verbose] Processed 72000 and generated 85983 boolean variables
[13:27:20.324 verbose] Processed 73000 and generated 87179 boolean variables
[13:27:20.858 verbose] Processed 74000 and generated 88527 boolean variables
[13:27:21.353 verbose] Processed 75000 and generated 89863 boolean variables
[13:27:21.972 verbose] Processed 76000 and generated 91183 boolean variables
[13:27:22.608 verbose] Processed 77000 and generated 92305 boolean variables
[13:27:23.065 verbose] Processed 78000 and generated 93621 boolean variables
[13:27:23.640 verbose] Processed 79000 and generated 94812 boolean variables
[13:27:24.147 verbose] Processed 80000 and generated 95921 boolean variables
[13:27:24.615 verbose] Processed 81000 and generated 97039 boolean variables
[13:27:25.215 verbose] Processed 82000 and generated 98283 boolean variables
[13:27:25.742 verbose] Processed 83000 and generated 99329 boolean variables
[13:27:26.219 verbose] Processed 84000 and generated 100396 boolean variables
[13:27:26.678 verbose] Processed 85000 and generated 101543 boolean variables
[13:27:27.130 verbose] Processed 86000 and generated 102748 boolean variables
[13:27:27.675 verbose] Processed 87000 and generated 103828 boolean variables
[13:27:28.226 verbose] Processed 88000 and generated 105073 boolean variables
[13:27:28.778 verbose] Processed 89000 and generated 106333 boolean variables
[13:27:29.319 verbose] Processed 90000 and generated 107622 boolean variables
[13:27:30.255 verbose] Processed 91000 and generated 108849 boolean variables
[13:27:30.886 verbose] Processed 92000 and generated 109979 boolean variables
[13:27:31.385 verbose] Processed 93000 and generated 111061 boolean variables
[13:27:31.912 verbose] Processed 94000 and generated 112162 boolean variables
[13:27:32.479 verbose] Processed 95000 and generated 113420 boolean variables
[13:27:33.025 verbose] Processed 96000 and generated 114416 boolean variables
[13:27:33.491 verbose] Processed 97000 and generated 115442 boolean variables
[13:27:34.064 verbose] Processed 98000 and generated 116474 boolean variables
[13:27:34.679 verbose] Processed 99000 and generated 117654 boolean variables
[13:27:35.147 verbose] Processed 100000 and generated 118614 boolean variables
[13:27:35.588 verbose] Processed 101000 and generated 119796 boolean variables
[13:27:36.037 verbose] Processed 102000 and generated 120920 boolean variables
[13:27:36.494 verbose] Processed 103000 and generated 122061 boolean variables
[13:27:37.036 verbose] Processed 104000 and generated 123144 boolean variables
[13:27:37.580 verbose] Processed 105000 and generated 124254 boolean variables
[13:27:38.130 verbose] Processed 106000 and generated 125409 boolean variables
[13:27:38.977 verbose] Processed 107000 and generated 126588 boolean variables
[13:27:39.584 verbose] Processed 108000 and generated 127978 boolean variables
[13:27:40.185 verbose] Processed 109000 and generated 129145 boolean variables
[13:27:40.787 verbose] Processed 110000 and generated 130122 boolean variables
[13:27:41.271 verbose] Processed 111000 and generated 131132 boolean variables
[13:27:41.813 verbose] Processed 112000 and generated 132143 boolean variables
[13:27:42.281 verbose] Processed 113000 and generated 133374 boolean variables
[13:27:42.897 verbose] Processed 114000 and generated 134398 boolean variables
[13:27:43.357 verbose] Processed 115000 and generated 135402 boolean variables
[13:27:43.891 verbose] Processed 116000 and generated 136293 boolean variables
[13:27:44.474 verbose] Processed 117000 and generated 137481 boolean variables
[13:27:44.995 verbose] Processed 118000 and generated 138449 boolean variables
[13:27:45.457 verbose] Processed 119000 and generated 139520 boolean variables
[13:27:45.895 verbose] Processed 120000 and generated 140664 boolean variables
[13:27:46.344 verbose] Processed 121000 and generated 141807 boolean variables
[13:27:46.792 verbose] Processed 122000 and generated 142910 boolean variables
[13:27:47.324 verbose] Processed 123000 and generated 143984 boolean variables
[13:27:47.877 verbose] Processed 124000 and generated 145056 boolean variables
[13:27:48.392 verbose] Processed 125000 and generated 146245 boolean variables
[13:27:48.920 verbose] Processed 126000 and generated 147258 boolean variables
[13:27:49.414 verbose] Processed 127000 and generated 148482 boolean variables
[13:27:50.077 verbose] Processed 128000 and generated 149864 boolean variables
[13:27:50.675 verbose] Processed 129000 and generated 151058 boolean variables
[13:27:51.339 verbose] Processed 130000 and generated 151966 boolean variables
[13:27:51.857 verbose] Processed 131000 and generated 152952 boolean variables
[13:27:52.413 verbose] Processed 132000 and generated 153919 boolean variables
[13:27:52.915 verbose] Processed 133000 and generated 155047 boolean variables
[13:27:53.543 verbose] Processed 134000 and generated 156126 boolean variables
[13:27:54.057 verbose] Processed 135000 and generated 157162 boolean variables
[13:27:54.576 verbose] Processed 136000 and generated 158109 boolean variables
[13:27:55.167 verbose] Processed 137000 and generated 159094 boolean variables
[13:27:55.787 verbose] Processed 138000 and generated 160221 boolean variables
[13:27:56.266 verbose] Processed 139000 and generated 161153 boolean variables
[13:27:56.734 verbose] Processed 140000 and generated 162261 boolean variables
[13:27:57.190 verbose] Processed 141000 and generated 163350 boolean variables
[13:27:57.643 verbose] Processed 142000 and generated 164474 boolean variables
[13:27:58.107 verbose] Processed 143000 and generated 165555 boolean variables
[13:27:58.633 verbose] Processed 144000 and generated 166702 boolean variables
[13:27:59.190 verbose] Processed 145000 and generated 167744 boolean variables
[13:27:59.688 verbose] Processed 146000 and generated 168863 boolean variables
[13:28:00.259 verbose] Processed 147000 and generated 169997 boolean variables
[13:28:00.742 verbose] Processed 148000 and generated 171104 boolean variables
[13:28:01.323 verbose] Processed 149000 and generated 172362 boolean variables
[13:28:02.021 verbose] Processed 150000 and generated 173771 boolean variables
[13:28:02.636 verbose] Processed 151000 and generated 174921 boolean variables
[13:28:03.328 verbose] Processed 152000 and generated 175790 boolean variables
[13:28:03.869 verbose] Processed 153000 and generated 176820 boolean variables
[13:28:04.457 verbose] Processed 154000 and generated 177828 boolean variables
[13:28:04.953 verbose] Processed 155000 and generated 178944 boolean variables
[13:28:05.598 verbose] Processed 156000 and generated 179989 boolean variables
[13:28:06.687 verbose] Processed 157000 and generated 181081 boolean variables
[13:28:07.182 verbose] Processed 158000 and generated 182103 boolean variables
[13:28:07.741 verbose] Processed 159000 and generated 183083 boolean variables
[13:28:08.354 verbose] Processed 160000 and generated 184277 boolean variables
[13:28:08.818 verbose] Processed 161000 and generated 185225 boolean variables
[13:28:09.272 verbose] Processed 162000 and generated 186298 boolean variables
[13:28:09.709 verbose] Processed 163000 and generated 187370 boolean variables
[13:28:10.145 verbose] Processed 164000 and generated 188442 boolean variables
[13:28:10.581 verbose] Processed 165000 and generated 189513 boolean variables
[13:28:11.079 verbose] Processed 166000 and generated 190580 boolean variables
[13:28:11.552 verbose] Processed 167000 and generated 191804 boolean variables
[13:28:12.099 verbose] Processed 168000 and generated 192780 boolean variables
[13:28:12.583 verbose] Processed 169000 and generated 193900 boolean variables
[13:28:13.123 verbose] Processed 170000 and generated 195008 boolean variables
[13:28:13.584 verbose] Processed 171000 and generated 196126 boolean variables
[13:28:14.158 verbose] Processed 172000 and generated 197340 boolean variables
[13:28:14.750 verbose] Processed 173000 and generated 198730 boolean variables
[13:28:16.165 verbose] Processed 174000 and generated 200063 boolean variables
[13:28:16.699 verbose] Processed 175000 and generated 201103 boolean variables
[13:28:17.305 verbose] Processed 176000 and generated 201988 boolean variables
[13:28:17.812 verbose] Processed 177000 and generated 203099 boolean variables
[13:28:18.360 verbose] Processed 178000 and generated 204208 boolean variables
[13:28:18.808 verbose] Processed 179000 and generated 205302 boolean variables
[13:28:19.394 verbose] Processed 180000 and generated 206384 boolean variables
[13:28:19.901 verbose] Processed 181000 and generated 207510 boolean variables
[13:28:20.387 verbose] Processed 182000 and generated 208629 boolean variables
[13:28:20.947 verbose] Processed 183000 and generated 209630 boolean variables
[13:28:21.532 verbose] Processed 184000 and generated 210869 boolean variables
[13:28:22.022 verbose] Processed 185000 and generated 211848 boolean variables
[13:28:22.494 verbose] Processed 186000 and generated 212898 boolean variables
[13:28:22.930 verbose] Processed 187000 and generated 213916 boolean variables
[13:28:23.368 verbose] Processed 188000 and generated 214954 boolean variables
[13:28:23.810 verbose] Processed 189000 and generated 215995 boolean variables
[13:28:24.250 verbose] Processed 190000 and generated 217001 boolean variables
[13:28:24.755 verbose] Processed 191000 and generated 218069 boolean variables
[13:28:25.291 verbose] Processed 192000 and generated 219196 boolean variables
[13:28:25.797 verbose] Processed 193000 and generated 220191 boolean variables
[13:28:26.306 verbose] Processed 194000 and generated 221297 boolean variables
[13:28:26.859 verbose] Processed 195000 and generated 222335 boolean variables
[13:28:27.311 verbose] Processed 196000 and generated 223452 boolean variables
[13:28:27.812 verbose] Processed 197000 and generated 224648 boolean variables
[13:28:28.404 verbose] Processed 198000 and generated 225961 boolean variables
[13:28:29.042 verbose] Processed 199000 and generated 227301 boolean variables
[13:28:29.723 verbose] Processed 200000 and generated 228556 boolean variables
[13:28:30.293 verbose] Processed 201000 and generated 229557 boolean variables
[13:28:30.918 verbose] Processed 202000 and generated 230506 boolean variables
[13:28:31.443 verbose] Processed 203000 and generated 231649 boolean variables
[13:28:32.011 verbose] Processed 204000 and generated 232766 boolean variables
[13:28:32.476 verbose] Processed 205000 and generated 233853 boolean variables
[13:28:33.052 verbose] Processed 206000 and generated 234922 boolean variables
[13:28:33.635 verbose] Processed 207000 and generated 236102 boolean variables
[13:28:34.131 verbose] Processed 208000 and generated 237138 boolean variables
[13:28:34.677 verbose] Processed 209000 and generated 238279 boolean variables
[13:28:35.230 verbose] Processed 210000 and generated 239371 boolean variables
[13:28:35.829 verbose] Processed 211000 and generated 240473 boolean variables
[13:28:36.334 verbose] Processed 212000 and generated 241476 boolean variables
[13:28:36.803 verbose] Processed 213000 and generated 242467 boolean variables
[13:28:37.257 verbose] Processed 214000 and generated 243484 boolean variables
[13:28:37.731 verbose] Processed 215000 and generated 244478 boolean variables
[13:28:38.187 verbose] Processed 216000 and generated 245465 boolean variables
[13:28:38.650 verbose] Processed 217000 and generated 246468 boolean variables
[13:28:39.198 verbose] Processed 218000 and generated 247486 boolean variables
[13:28:39.738 verbose] Processed 219000 and generated 248527 boolean variables
[13:28:40.296 verbose] Processed 220000 and generated 249526 boolean variables
[13:28:40.796 verbose] Processed 221000 and generated 250453 boolean variables
[13:28:41.886 verbose] Processed 222000 and generated 251546 boolean variables
[13:28:42.336 verbose] Processed 223000 and generated 252577 boolean variables
[13:28:42.793 verbose] Processed 224000 and generated 253690 boolean variables
[13:28:43.330 verbose] Processed 225000 and generated 254897 boolean variables
[13:28:43.899 verbose] Processed 226000 and generated 256199 boolean variables
[13:28:44.494 verbose] Processed 227000 and generated 257502 boolean variables
[13:28:45.167 verbose] Processed 228000 and generated 258683 boolean variables
[13:28:45.793 verbose] Processed 229000 and generated 259736 boolean variables
[13:28:46.442 verbose] Processed 230000 and generated 260724 boolean variables
